Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Datetime,Return
2023-11-24 00:00:00-05:00,375.2789554627134,375.91549121999134,373.1008874444975,375.37841796875,10176600,0.0,0.0,2023-11-24 00:00:00-05:00,0.15342338995301508
2023-11-27 00:00:00-05:00,374.731962508856,378.5709967639776,374.1551285283951,376.552001953125,22179200,0.0,0.0,2023-11-27 00:00:00-05:00,0.1502938602080659
2023-11-28 00:00:00-05:00,376.29348092671114,380.9181997356685,376.10451124544255,380.6198425292969,20453100,0.0,0.0,2023-11-28 00:00:00-05:00,0.13686755215836333
2023-11-29 00:00:00-05:00,381.67402505486496,382.21106795118794,375.3883710720959,376.7907104492187,28963400,0.0,0.0,2023-11-29 00:00:00-05:00,0.12276751267909192
2023-11-30 00:00:00-05:00,376.43267242664,378.0239815470539,373.4290988462353,376.8504028320313,30554400,0.0,0.0,2023-11-30 00:00:00-05:00,0.09711637925405081
2023-12-01 00:00:00-05:00,374.712073985326,376.1044580041203,369.2916861405215,372.4743041992187,33020400,0.0,0.0,2023-12-01 00:00:00-05:00,0.07737169861085746
2023-12-04 00:00:00-05:00,367.0937233301231,367.51142337800945,360.92741195614553,367.1335144042969,32063300,0.0,0.0,2023-12-04 00:00:00-05:00,0.048438954049275784
2023-12-05 00:00:00-05:00,364.4581343822117,371.05207082009633,363.6326289381052,370.4951171875,23065000,0.0,0.0,2023-12-05 00:00:00-05:00,0.046969588910131366
2023-12-06 00:00:00-05:00,371.5096051517362,372.1461106031472,366.0295454376952,366.79534912109375,21182100,0.0,0.0,2023-12-06 00:00:00-05:00,0.025014598110002062
2023-12-07 00:00:00-05:00,366.2284385609982,369.43093695612873,364.32881702567994,368.93365478515625,23118900,0.0,0.0,2023-12-07 00:00:00-05:00,0.02341104734060573
2023-12-08 00:00:00-05:00,367.19320389043816,372.42459221283207,366.228475168252,372.19586181640625,20144800,0.0,0.0,2023-12-08 00:00:00-05:00,0.03964509187423859
2023-12-11 00:00:00-05:00,366.477089826347,369.580125803139,364.1100217704953,369.28173828125,27708800,0.0,0.0,2023-12-11 00:00:00-05:00,0.006447837375731957
2023-12-12 00:00:00-05:00,368.83422055613806,372.3848228134841,368.4463258642292,372.3450317382813,24838300,0.0,0.0,2023-12-12 00:00:00-05:00,0.02307155529490812
2023-12-13 00:00:00-05:00,373.9760776046103,375.58729735411816,368.7546147441536,372.3350524902344,30955500,0.0,0.0,2023-12-13 00:00:00-05:00,0.013125224567126725
2023-12-14 00:00:00-05:00,371.2808075799423,371.72837366909096,362.15071431554463,363.94091796875,43277500,0.0,0.0,2023-12-14 00:00:00-05:00,-0.010117282384799364
