Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-30 00:00:00-04:00,428.2099914550781,430.4200134277344,425.3699951171875,430.29998779296875,16807300,0.0,0.0
2024-10-01 00:00:00-04:00,428.45001220703125,428.4800109863281,418.80999755859375,420.69000244140625,19092900,0.0,0.0
2024-10-02 00:00:00-04:00,422.5799865722656,422.82000732421875,416.7099914550781,417.1300048828125,16582300,0.0,0.0
2024-10-03 00:00:00-04:00,417.6300048828125,419.54998779296875,414.2900085449219,416.5400085449219,13686400,0.0,0.0
2024-10-04 00:00:00-04:00,418.239990234375,419.75,414.9700012207031,416.05999755859375,19169700,0.0,0.0
2024-10-07 00:00:00-04:00,416.0,417.1099853515625,409.0,409.5400085449219,20919800,0.0,0.0
2024-10-08 00:00:00-04:00,410.8999938964844,415.6600036621094,408.1700134277344,414.7099914550781,19229300,0.0,0.0
2024-10-09 00:00:00-04:00,415.8599853515625,420.3800048828125,414.29998779296875,417.4599914550781,14974300,0.0,0.0
2024-10-10 00:00:00-04:00,415.2300109863281,417.3500061035156,413.1499938964844,415.8399963378906,13848400,0.0,0.0
2024-10-11 00:00:00-04:00,416.1400146484375,417.1300048828125,413.25,416.32000732421875,14144900,0.0,0.0
2024-10-14 00:00:00-04:00,417.7699890136719,424.0400085449219,417.5199890136719,419.1400146484375,16653100,0.0,0.0
2024-10-15 00:00:00-04:00,422.17999267578125,422.4800109863281,415.260009765625,418.739990234375,18900200,0.0,0.0
2024-10-16 00:00:00-04:00,415.1700134277344,416.3599853515625,410.4800109863281,416.1199951171875,15508900,0.0,0.0
2024-10-17 00:00:00-04:00,422.3599853515625,422.5,415.5899963378906,416.7200012207031,14820000,0.0,0.0
2024-10-18 00:00:00-04:00,417.1400146484375,419.6499938964844,416.260009765625,418.1600036621094,17145300,0.0,0.0
2024-10-21 00:00:00-04:00,416.1199951171875,418.9599914550781,413.75,418.7799987792969,14206100,0.0,0.0
2024-10-22 00:00:00-04:00,418.489990234375,430.5799865722656,418.0400085449219,427.510009765625,25482200,0.0,0.0
2024-10-23 00:00:00-04:00,430.8599853515625,431.0799865722656,422.5299987792969,424.6000061035156,19654400,0.0,0.0
2024-10-24 00:00:00-04:00,425.3299865722656,425.9800109863281,422.3999938964844,424.7300109863281,13581600,0.0,0.0
2024-10-25 00:00:00-04:00,426.760009765625,432.5199890136719,426.57000732421875,428.1499938964844,16899100,0.0,0.0
2024-10-28 00:00:00-04:00,431.6600036621094,431.94000244140625,426.29998779296875,426.5899963378906,14882400,0.0,0.0
2024-10-29 00:00:00-04:00,428.0,433.1700134277344,425.79998779296875,431.95001220703125,17581800,0.0,0.0
